ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601127.SH,2019-01-02,17.0,17.0,16.58,16.7,17.14,-0.44,-2.5671,22940.56,38283.133
601127.SH,2019-01-03,16.7,16.71,15.9,16.08,16.7,-0.62,-3.7126,25441.1,41449.505
601127.SH,2019-01-04,16.0,16.25,15.96,16.2,16.08,0.12,0.7463,22444.72,36299.68
601127.SH,2019-01-07,16.25,16.4,16.13,16.2,16.2,0.0,0.0,19539.31,31724.4
601127.SH,2019-01-08,16.2,16.38,16.15,16.37,16.2,0.17,1.0494,16831.68,27378.836
601127.SH,2019-01-09,16.41,16.77,16.36,16.66,16.37,0.29,1.7715,23680.0,39459.655
601127.SH,2019-01-10,16.63,16.86,16.38,16.54,16.66,-0.12,-0.7203,28848.28,48019.184
601127.SH,2019-01-11,16.65,16.83,16.36,16.57,16.54,0.03,0.1814,27851.15,46090.497
601127.SH,2019-01-14,16.51,16.84,16.46,16.71,16.57,0.14,0.8449,34016.59,56689.112
601127.SH,2019-01-15,16.67,16.83,16.55,16.72,16.71,0.01,0.0598,31090.48,52017.244
601127.SH,2019-01-16,16.68,16.84,16.57,16.66,16.72,-0.06,-0.3589,35004.9,58546.967
601127.SH,2019-01-17,16.6,16.9,16.44,16.76,16.66,0.1,0.6002,42042.66,70364.797
601127.SH,2019-01-18,16.7,16.8,16.52,16.77,16.76,0.01,0.0597,37664.36,62807.818
601127.SH,2019-01-21,16.72,16.72,16.45,16.46,16.77,-0.31,-1.8485,18755.94,31066.145
601127.SH,2019-01-22,16.45,16.66,16.3,16.4,16.46,-0.06,-0.3645,18694.0,30789.386
601127.SH,2019-01-23,16.37,16.4,16.19,16.3,16.4,-0.1,-0.6098,17705.77,28826.385
601127.SH,2019-01-24,16.3,16.5,16.21,16.4,16.3,0.1,0.6135,17970.88,29399.466
601127.SH,2019-01-25,16.4,16.57,16.4,16.45,16.4,0.05,0.3049,17254.0,28432.653
601127.SH,2019-01-28,16.43,16.51,16.13,16.26,16.45,-0.19,-1.155,19062.0,31125.284
601127.SH,2019-01-29,16.26,16.28,16.02,16.16,16.26,-0.1,-0.615,13910.0,22442.26
601127.SH,2019-01-30,16.17,16.24,16.09,16.21,16.16,0.05,0.3094,15259.69,24673.301
601127.SH,2019-01-31,16.21,16.4,16.11,16.22,16.21,0.01,0.0617,16175.13,26300.22
601127.SH,2019-02-01,16.18,16.39,16.08,16.37,16.22,0.15,0.9248,15748.36,25564.698
601127.SH,2019-02-11,16.35,16.52,16.35,16.49,16.37,0.12,0.733,14061.0,23143.995
601127.SH,2019-02-12,16.48,16.61,16.46,16.52,16.49,0.03,0.1819,13605.16,22501.028
601127.SH,2019-02-13,16.52,16.73,16.39,16.63,16.52,0.11,0.6659,18346.94,30333.703
601127.SH,2019-02-14,16.65,16.72,16.44,16.65,16.63,0.02,0.1203,20427.07,33850.705
601127.SH,2019-02-15,16.66,16.66,16.46,16.52,16.65,-0.13,-0.7808,14069.13,23237.043
601127.SH,2019-02-18,16.52,16.7,16.51,16.69,16.52,0.17,1.0291,16964.63,28183.485
601127.SH,2019-02-19,16.68,16.75,16.53,16.71,16.69,0.02,0.1198,17711.0,29458.069
601127.SH,2019-02-20,16.65,16.8,16.54,16.75,16.71,0.04,0.2394,25523.4,42456.942
601127.SH,2019-02-21,16.7,16.73,16.52,16.55,16.75,-0.2,-1.194,15765.26,26219.643
601127.SH,2019-02-22,16.54,16.7,16.45,16.68,16.55,0.13,0.7855,35825.26,59344.675
601127.SH,2019-02-25,16.7,17.09,16.66,17.07,16.68,0.39,2.3381,70377.02,119165.747
601127.SH,2019-02-26,17.1,17.1,16.81,16.84,17.07,-0.23,-1.3474,83187.29,141101.242
601127.SH,2019-02-27,16.8,16.98,16.72,16.74,16.84,-0.1,-0.5938,26300.55,44252.944
601127.SH,2019-02-28,16.75,16.88,16.57,16.62,16.74,-0.12,-0.7168,25996.14,43297.316
601127.SH,2019-03-01,16.61,16.72,16.27,16.54,16.62,-0.08,-0.4813,20904.41,34308.506
601127.SH,2019-03-04,16.8,16.8,16.43,16.59,16.54,0.05,0.3023,41550.21,69019.035
601127.SH,2019-03-05,16.66,16.69,16.41,16.59,16.59,0.0,0.0,25172.48,41569.904
601127.SH,2019-03-06,16.73,18.18,16.64,17.93,16.59,1.34,8.0772,91472.08,160411.142
601127.SH,2019-03-07,18.13,18.38,17.72,18.16,17.93,0.23,1.2828,64878.22,117456.693
601127.SH,2019-03-08,17.83,17.83,17.13,17.18,18.16,-0.98,-5.3965,49803.26,87186.546
601127.SH,2019-03-11,17.18,18.3,17.18,18.11,17.18,0.93,5.4133,59859.33,107221.014
601127.SH,2019-03-12,18.2,18.36,17.89,18.12,18.11,0.01,0.0552,46306.3,83784.179
601127.SH,2019-03-13,18.06,18.08,17.47,17.63,18.12,-0.49,-2.7042,32122.28,56923.691
601127.SH,2019-03-14,17.63,17.82,17.21,17.51,17.63,-0.12,-0.6807,24052.05,41942.901
601127.SH,2019-03-15,17.54,17.64,17.25,17.45,17.51,-0.06,-0.3427,18447.36,32234.148
601127.SH,2019-03-18,17.53,17.6,17.28,17.47,17.45,0.02,0.1146,34422.06,59999.81
601127.SH,2019-03-19,17.5,17.56,17.13,17.25,17.47,-0.22,-1.2593,39955.0,69105.1
601127.SH,2019-03-20,17.3,17.39,16.97,17.07,17.25,-0.18,-1.0435,31127.89,53312.747
601127.SH,2019-03-21,17.05,17.24,17.0,17.12,17.07,0.05,0.2929,28680.0,49061.735
601127.SH,2019-03-22,17.12,17.33,16.75,17.23,17.12,0.11,0.6425,33362.63,56837.196
601127.SH,2019-03-25,16.94,17.27,16.89,17.17,17.23,-0.06,-0.3482,35056.41,60136.972
601127.SH,2019-03-26,17.18,17.48,16.8,16.9,17.17,-0.27,-1.5725,31279.75,53663.865
601127.SH,2019-03-27,16.85,17.06,16.42,16.58,16.9,-0.32,-1.8935,29577.38,49215.714
601127.SH,2019-03-28,16.5,16.68,16.04,16.17,16.58,-0.41,-2.4729,34924.68,56843.415
601127.SH,2019-03-29,16.16,16.48,16.1,16.4,16.17,0.23,1.4224,21444.8,34974.805
601127.SH,2019-04-01,16.42,16.94,16.42,16.81,16.4,0.41,2.5,32011.11,53516.096
601127.SH,2019-04-02,16.91,17.08,16.65,16.78,16.81,-0.03,-0.1785,32934.3,55443.635
601127.SH,2019-04-03,16.9,16.9,16.62,16.76,16.78,-0.02,-0.1192,20299.68,33944.792
